NodeID,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,67.730156,295.3664,193.92735,188.41515,-173.22545,45.65326,-10.362909,-172.63074,-117.740105,-14.036193,78.272255,-105.26069,-3.702003,-72.917,-10.815581,-94.05937,-95.13149,-192.5778,-57.99703,-223.89209,139.23552,162.38802,-128.23961,63.33425,110.036606,187.84387,-98.05325,-7.596086,182.3615,128.38559,72.209,-57.834324
58,69.34535,302.5375,198.67969,192.5468,-177.1695,46.915604,-10.575734,-177.0824,-120.70739,-14.422096,80.20235,-107.79308,-3.8562021,-74.885216,-11.373288,-96.06449,-97.229164,-197.25177,-58.997654,-229.25847,143.11133,166.0597,-130.6784,64.71496,113.152824,192.6516,-100.16914,-7.44299,186.97719,131.86223,74.008316,-59.760254
123,72.689804,318.54056,214.46716,209.09131,-192.36873,52.274654,-9.27055,-191.78569,-132.67,-12.970672,82.74161,-113.54656,-7.433866,-83.02712,-11.324885,-106.6788,-106.96378,-212.40022,-66.82449,-244.68486,154.37904,179.61711,-141.46753,73.26287,122.92581,205.67267,-109.81422,-6.302798,198.74585,142.84317,76.57077,-63.693687
151,69.34594,302.5402,198.68149,192.54839,-177.17104,46.91609,-10.575798,-177.08409,-120.708534,-14.422216,80.20305,-107.79402,-3.8562899,-74.88599,-11.373483,-96.0653,-97.22999,-197.25356,-58.998074,-229.2605,143.11278,166.06108,-130.67938,64.71553,113.154,192.65338,-100.169975,-7.4429283,186.9789,131.86353,74.00897,-59.760963
181,66.84919,291.47534,191.18958,185.91148,-170.8533,44.895515,-10.28808,-170.05858,-115.9517,-13.89735,77.27719,-103.87,-3.5175505,-71.73045,-10.558056,-92.76203,-93.82958,-189.88704,-57.25758,-220.83589,137.06607,160.22371,-126.69689,62.40082,108.26178,185.16304,-96.728584,-7.6862435,179.83548,126.407,71.26906,-56.79592
230,68.82983,300.33667,197.63902,191.88565,-176.48425,46.727917,-10.36677,-176.09032,-120.22646,-14.11633,79.46451,-107.02562,-4.0726776,-74.57916,-11.087434,-95.95547,-97.003914,-196.19847,-59.159924,-227.88884,142.11827,165.37245,-130.38402,64.740166,112.40887,191.35362,-99.92679,-7.436557,185.66867,131.04376,73.339424,-59.123432
266,62.80279,274.2782,182.99457,179.45306,-164.73134,43.756084,-8.68412,-162.98695,-112.2435,-11.643255,71.798256,-97.85969,-4.939368,-69.61082,-9.149333,-91.02463,-91.19458,-181.53992,-57.099667,-210.20009,130.31549,154.26189,-122.72472,61.9091,103.483246,175.50885,-94.050934,-6.8649673,170.31213,120.805,66.099915,-53.073776
308,68.8255,300.31696,197.6238,191.87128,-176.47076,46.723377,-10.366929,-176.0761,-120.21609,-14.116227,79.45994,-107.018616,-4.070912,-74.57218,-11.086417,-95.94742,-96.99606,-196.18367,-59.154877,-227.87267,142.1065,165.36014,-130.37512,64.734116,112.39911,191.33945,-99.91893,-7.4373283,185.65535,131.03284,73.33508,-59.11826
437,72.69,318.54123,214.46669,209.09045,-192.368,52.274315,-9.270887,-191.78523,-132.66933,-12.971113,82.74208,-113.54678,-7.433315,-83.026634,-11.32514,-106.67793,-106.963104,-212.39984,-66.82365,-244.68474,154.37892,179.61653,-141.46687,73.26206,122.92557,205.67271,-109.81357,-6.302951,198.74597,142.84288,76.57119,-63.69389
529,68.82548,300.3169,197.62375,191.87123,-176.47073,46.72337,-10.366925,-176.07605,-120.21606,-14.116223,79.45992,-107.018585,-4.070913,-74.57217,-11.086413,-95.947395,-96.99604,-196.18364,-59.154873,-227.8726,142.10648,165.3601,-130.3751,64.7341,112.39907,191.33942,-99.918915,-7.4373274,185.6553,131.0328,73.33507,-59.118244
563,72.67467,317.6475,210.07162,203.2641,-187.21878,50.233925,-10.550618,-187.69359,-128.36942,-14.610526,83.78098,-113.14873,-5.0538974,-80.013916,-12.157596,-101.964226,-103.03679,-208.36005,-62.66797,-241.47343,151.92384,175.25064,-137.31813,69.11297,120.412315,203.36629,-105.975105,-6.9478116,197.05815,140.00208,77.40496,-63.650517
633,69.345985,302.5404,198.68163,192.54851,-177.17114,46.91612,-10.57581,-177.08421,-120.70862,-14.4222355,80.20311,-107.7941,-3.8562865,-74.88603,-11.3735,-96.06535,-97.23004,-197.25368,-58.9981,-229.26067,143.1129,166.0612,-130.67944,64.71555,113.154076,192.65353,-100.17004,-7.4429283,186.97905,131.86365,74.00903,-59.761017
731,73.33474,320.7804,213.03993,206.43729,-190.1109,51.195114,-10.341512,-190.408,-130.57623,-14.367643,84.29458,-114.26897,-5.697003,-81.49664,-12.108663,-103.96668,-104.89004,-211.22389,-64.18541,-244.41206,153.98618,177.82149,-139.44214,70.71417,122.17552,205.82346,-107.81209,-6.808781,199.26617,142.00952,77.933525,-64.32776
784,62.801254,274.27292,182.99644,179.45589,-164.73407,43.758305,-8.682114,-162.98967,-112.246956,-11.640704,71.79536,-97.85786,-4.9422803,-69.6137,-9.14871,-91.02834,-91.197105,-181.54128,-57.10279,-210.1998,130.31688,154.26398,-122.72609,61.912865,103.48538,175.5084,-94.05341,-6.863125,170.31126,120.80698,66.0971,-53.07371
1046,72.68986,318.5408,214.46744,209.0916,-192.36899,52.274754,-9.270523,-191.78593,-132.67023,-12.970642,82.74164,-113.54665,-7.4339323,-83.02727,-11.324887,-106.67899,-106.96394,-212.40048,-66.82463,-244.68512,154.37924,179.61734,-141.46771,73.26303,122.92599,205.6729,-109.814384,-6.302771,198.74603,142.84337,76.57081,-63.693756
1056,72.68986,318.5408,214.46744,209.0916,-192.36899,52.274754,-9.270523,-191.78593,-132.67023,-12.970642,82.74164,-113.54665,-7.4339323,-83.02727,-11.324887,-106.67899,-106.96394,-212.40048,-66.82463,-244.68512,154.37924,179.61734,-141.46771,73.26303,122.92599,205.6729,-109.814384,-6.302771,198.74603,142.84337,76.57081,-63.693756
1147,72.68986,318.5408,214.46744,209.0916,-192.36899,52.274754,-9.270523,-191.78593,-132.67023,-12.970642,82.74164,-113.54665,-7.4339323,-83.02727,-11.324887,-106.67899,-106.96394,-212.40048,-66.82463,-244.68512,154.37924,179.61734,-141.46771,73.26303,122.92599,205.6729,-109.814384,-6.302771,198.74603,142.84337,76.57081,-63.693756
1203,72.68986,318.5408,214.46744,209.0916,-192.36899,52.274754,-9.270523,-191.78593,-132.67023,-12.970642,82.74164,-113.54665,-7.4339323,-83.02727,-11.324887,-106.67899,-106.96394,-212.40048,-66.82463,-244.68512,154.37924,179.61734,-141.46771,73.26303,122.92599,205.6729,-109.814384,-6.302771,198.74603,142.84337,76.57081,-63.693756
