id1,id2
17403,16088
17403,18314
17403,10802
15795,16088
15795,18314
15795,10802
17994,16088
17994,18314
17994,10802
17451,16088
17451,18314
17451,10802
8921,16088
8921,18314
8921,10802
17403,16193
17403,9860
17403,9940
17403,8597
17403,10437
15795,16193
15795,9860
15795,9940
15795,8597
15795,10437
17994,16193
17994,9860
17994,9940
17994,8597
17994,10437
17451,16193
17451,9860
17451,9940
17451,8597
17451,10437
8921,16193
8921,9860
8921,9940
8921,8597
8921,10437
17403,16527
17403,10023
15795,16527
15795,10023
17994,16527
17994,10023
17451,16527
17451,10023
8921,16527
8921,10023
16088,16193
16088,9860
16088,9940
16088,8597
16088,10437
18314,16193
18314,9860
18314,9940
18314,8597
18314,10437
10802,16193
10802,9860
10802,9940
10802,8597
10802,10437
16088,16527
16088,10023
18314,16527
18314,10023
10802,16527
10802,10023
16193,16527
16193,10023
9860,16527
9860,10023
9940,16527
9940,10023
8597,16527
8597,10023
10437,16527
10437,10023
4103,4147
4103,10158
4103,12260
4103,13002
4103,15401
7379,4147
7379,10158
7379,12260
7379,13002
7379,15401
12490,4147
12490,10158
12490,12260
12490,13002
12490,15401
13229,4147
13229,10158
13229,12260
13229,13002
13229,15401
15571,4147
15571,10158
15571,12260
15571,13002
15571,15401
4103,681
4103,1305
4103,5780
4103,6199
4103,6948
7379,681
7379,1305
7379,5780
7379,6199
7379,6948
12490,681
12490,1305
12490,5780
12490,6199
12490,6948
13229,681
13229,1305
13229,5780
13229,6199
13229,6948
15571,681
15571,1305
15571,5780
15571,6199
15571,6948
4103,4641
4103,5907
4103,5762
4103,6875
4103,19467
7379,4641
7379,5907
7379,5762
7379,6875
7379,19467
12490,4641
12490,5907
12490,5762
12490,6875
12490,19467
13229,4641
13229,5907
13229,5762
13229,6875
13229,19467
15571,4641
15571,5907
15571,5762
15571,6875
15571,19467
4147,681
4147,1305
4147,5780
4147,6199
4147,6948
10158,681
10158,1305
10158,5780
10158,6199
10158,6948
12260,681
12260,1305
12260,5780
12260,6199
12260,6948
13002,681
13002,1305
13002,5780
13002,6199
13002,6948
15401,681
15401,1305
15401,5780
15401,6199
15401,6948
4147,4641
4147,5907
4147,5762
4147,6875
4147,19467
10158,4641
10158,5907
10158,5762
10158,6875
10158,19467
12260,4641
12260,5907
12260,5762
12260,6875
12260,19467
13002,4641
13002,5907
13002,5762
13002,6875
13002,19467
15401,4641
15401,5907
15401,5762
15401,6875
15401,19467
681,4641
681,5907
681,5762
681,6875
681,19467
1305,4641
1305,5907
1305,5762
1305,6875
1305,19467
5780,4641
5780,5907
5780,5762
5780,6875
5780,19467
6199,4641
6199,5907
6199,5762
6199,6875
6199,19467
6948,4641
6948,5907
6948,5762
6948,6875
6948,19467
5027,3632
5027,11697
5027,12066
5027,18772
5027,15741
6166,3632
6166,11697
6166,12066
6166,18772
6166,15741
6726,3632
6726,11697
6726,12066
6726,18772
6726,15741
19193,3632
19193,11697
19193,12066
19193,18772
19193,15741
5027,2164
5027,9764
5027,13738
6166,2164
6166,9764
6166,13738
6726,2164
6726,9764
6726,13738
19193,2164
19193,9764
19193,13738
5027,708
5027,633
5027,1694
5027,2881
5027,11477
6166,708
6166,633
6166,1694
6166,2881
6166,11477
6726,708
6726,633
6726,1694
6726,2881
6726,11477
19193,708
19193,633
19193,1694
19193,2881
19193,11477
5027,1236
5027,2932
5027,12216
6166,1236
6166,2932
6166,12216
6726,1236
6726,2932
6726,12216
19193,1236
19193,2932
19193,12216
3632,2164
3632,9764
3632,13738
11697,2164
11697,9764
11697,13738
12066,2164
12066,9764
12066,13738
18772,2164
18772,9764
18772,13738
15741,2164
15741,9764
15741,13738
3632,708
3632,633
3632,1694
3632,2881
3632,11477
11697,708
11697,633
11697,1694
11697,2881
11697,11477
12066,708
12066,633
12066,1694
12066,2881
12066,11477
18772,708
18772,633
18772,1694
18772,2881
18772,11477
15741,708
15741,633
15741,1694
15741,2881
15741,11477
3632,1236
3632,2932
3632,12216
11697,1236
11697,2932
11697,12216
12066,1236
12066,2932
12066,12216
18772,1236
18772,2932
18772,12216
15741,1236
15741,2932
15741,12216
2164,708
2164,633
2164,1694
2164,2881
2164,11477
9764,708
9764,633
9764,1694
9764,2881
9764,11477
13738,708
13738,633
13738,1694
13738,2881
13738,11477
2164,1236
2164,2932
2164,12216
9764,1236
9764,2932
9764,12216
13738,1236
13738,2932
13738,12216
708,1236
708,2932
708,12216
633,1236
633,2932
633,12216
1694,1236
1694,2932
1694,12216
2881,1236
2881,2932
2881,12216
11477,1236
11477,2932
11477,12216
