NodeID,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
1,0.052766114,0.007320774,-0.05809208,0.001134105,-0.13889812,0.18497449,0.11781713,0.053995363,-0.12918554,-0.015789438,0.0474122,0.103913575,-0.0086884275,-0.14128882,-0.04117752,0.06771912,0.023645636,0.10005896,0.023716912,0.07842338,-0.0014620982,0.0317943,0.004823236,-0.0001224596,-0.05276819,0.055638917,-0.0060093068,0.061112672,-0.044573855,-0.01886378,0.031024985,0.092411004
9,0.008957161,-0.014788391,-0.068154156,0.009939618,0.016058713,-0.042357374,0.008782141,0.031663094,-0.008113895,0.032555647,-0.037714392,-0.08012327,0.00826643,0.051392123,-0.036872953,0.040609352,0.041691378,-0.03150567,-0.013644889,-0.01475082,-0.023795106,0.003669478,0.03744549,-0.026215522,0.019220494,0.01715102,0.021046018,-0.009808546,-0.058978796,0.014124596,-0.0040510744,-0.042375747
13,0.008957161,-0.014788391,-0.068154156,0.009939618,0.016058713,-0.042357374,0.008782141,0.031663094,-0.008113895,0.032555647,-0.037714392,-0.08012327,0.00826643,0.051392123,-0.036872953,0.040609352,0.041691378,-0.03150567,-0.013644889,-0.01475082,-0.023795106,0.003669478,0.03744549,-0.026215522,0.019220494,0.01715102,0.021046018,-0.009808546,-0.058978796,0.014124596,-0.0040510744,-0.042375747
21,0.005956495,-0.0181996,-0.06995012,0.011163913,0.02749468,-0.05724639,0.0018140245,0.029875573,0.0018565264,0.03503722,-0.043332636,-0.09162828,0.011026943,0.06370663,-0.034951825,0.03925001,0.04051885,-0.040193904,-0.016927801,-0.021568805,-0.023517273,0.003723152,0.04072661,-0.028053662,0.024291802,0.014075331,0.02173964,-0.016119622,-0.060165808,0.017032951,-0.0046860054,-0.05016923
31,0.0024034474,-0.03052492,-0.07742142,0.017993283,0.046903726,-0.072458014,-0.004169207,0.028101545,0.023357037,0.03779441,-0.052813873,-0.10171725,0.019431451,0.07567329,-0.023294292,0.038995128,0.02974727,-0.053125728,-0.024275389,-0.028734293,-0.01539845,0.008653257,0.044733632,-0.033185504,0.026524413,0.0107216295,0.019154424,-0.024239376,-0.059180073,0.024230793,-0.0009807944,-0.05566831
38,0.0064402167,-0.017657144,-0.06921287,0.010705389,0.026133087,-0.056626264,0.0024862085,0.0299045,-0.00022748671,0.03446828,-0.042242125,-0.091453105,0.010292679,0.06264774,-0.036007382,0.03936959,0.041452557,-0.039277453,-0.016085017,-0.021208424,-0.024900422,0.003585212,0.04090068,-0.027170667,0.024576604,0.014068704,0.021731844,-0.015971653,-0.060574725,0.01672867,-0.004760988,-0.049730077
39,0.011068875,-0.012874594,-0.066712186,0.008580398,0.008089032,-0.0324484,0.013632674,0.03240493,-0.015412904,0.030221809,-0.033082977,-0.07225258,0.0061835516,0.042619012,-0.03860847,0.041523762,0.042531293,-0.02499348,-0.011165846,-0.010526475,-0.024101667,0.0040884763,0.03601729,-0.02412782,0.016327893,0.018836603,0.020516803,-0.006546581,-0.05899187,0.012102584,-0.0030932724,-0.036679372
45,0.011068875,-0.012874594,-0.066712186,0.008580398,0.008089032,-0.0324484,0.013632674,0.03240493,-0.015412904,0.030221809,-0.033082977,-0.07225258,0.0061835516,0.042619012,-0.03860847,0.041523762,0.042531293,-0.02499348,-0.011165846,-0.010526475,-0.024101667,0.0040884763,0.03601729,-0.02412782,0.016327893,0.018836603,0.020516803,-0.006546581,-0.05899187,0.012102584,-0.0030932724,-0.036679372
47,0.0064402167,-0.017657144,-0.06921287,0.010705389,0.026133087,-0.056626264,0.0024862085,0.0299045,-0.00022748671,0.03446828,-0.042242125,-0.091453105,0.010292679,0.06264774,-0.036007382,0.03936959,0.041452557,-0.039277453,-0.016085017,-0.021208424,-0.024900422,0.003585212,0.04090068,-0.027170667,0.024576604,0.014068704,0.021731844,-0.015971653,-0.060574725,0.01672867,-0.004760988,-0.049730077
48,0.011068875,-0.012874594,-0.066712186,0.008580398,0.008089032,-0.0324484,0.013632674,0.03240493,-0.015412904,0.030221809,-0.033082977,-0.07225258,0.0061835516,0.042619012,-0.03860847,0.041523762,0.042531293,-0.02499348,-0.011165846,-0.010526475,-0.024101667,0.0040884763,0.03601729,-0.02412782,0.016327893,0.018836603,0.020516803,-0.006546581,-0.05899187,0.012102584,-0.0030932724,-0.036679372
2,0.042572923,-0.0052742665,-0.06408137,0.0061892085,-0.09784362,0.1324128,0.09382663,0.04785143,-0.0942875,-0.005668137,0.02668736,0.063052684,-0.00079267286,-0.097772434,-0.033799104,0.06193182,0.021312634,0.06811245,0.012857527,0.05593068,-0.0011811554,0.02937533,0.014657512,-0.0066365283,-0.037241835,0.045748256,-0.0021089278,0.041712448,-0.04808964,-0.008824926,0.027126815,0.06378135
3,0.040318996,-0.005838128,-0.06433621,0.005917549,-0.09025176,0.12027006,0.088053726,0.046640314,-0.08880094,-0.0031571928,0.022610633,0.052997433,-6.4041466e-05,-0.087543994,-0.03435012,0.06042541,0.022900146,0.06149243,0.011164673,0.051033888,-0.0032700934,0.02780984,0.016501501,-0.007644521,-0.032912347,0.043517582,-0.000411205,0.03789852,-0.049037486,-0.0072032684,0.025230225,0.05651038
