NodeID,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
1,-0.029088434,0.004087165,0.10083682,0.2166976,0.0088300295,-0.13911435,-0.015356967,0.12189041,0.048334904,-0.08501825,0.3719729,0.16639516,0.17815425,0.04825128,0.15301989,-0.107330635,0.19471607,-0.025875563,0.012511358,-0.30874372,0.046837002,-0.28434452,0.019128911,0.2558611,0.07179071,0.16400115,-0.09102463,0.057553183,0.19441554,0.043108776,0.122585446,0.17425868
58,-0.05172745,0.028855085,0.16627374,0.27552378,-0.020613136,-0.14438882,0.007032696,0.1438861,0.068708755,-0.10958563,0.51869744,0.18055806,0.25445735,0.07030427,0.1979667,-0.1868469,0.24592008,-0.05222134,0.055304818,-0.43066114,0.036795586,-0.3803226,-0.0028216392,0.34050602,0.08024119,0.17288852,-0.11541358,0.048262157,0.23825267,0.046267584,0.15706156,0.22333393
65,-0.0527575,0.030845031,0.16181335,0.27226,-0.017871475,-0.14584391,0.0037283916,0.14431494,0.06775272,-0.107839905,0.5149689,0.18299195,0.25191605,0.0683242,0.19607542,-0.17980368,0.24264055,-0.04943995,0.052337557,-0.42105043,0.040289138,-0.3780714,-0.0053188577,0.33345723,0.08063442,0.17627345,-0.11364314,0.05001493,0.23826036,0.046062812,0.15949635,0.21958831
76,0.07516642,-0.12279327,-0.09207107,0.13315947,0.12333033,-0.17330813,-0.039774388,0.08158319,0.024257187,-0.06356657,-0.030961957,0.1663276,-0.016193967,0.0149092,0.08962083,0.0434211,0.13094954,0.029389532,-0.104458734,-0.10779698,0.09698142,-0.054100253,0.17928472,0.1533891,0.08657549,0.16704723,-0.069563664,0.08491518,0.13501087,0.037577137,-0.01433799,0.12021527
77,0.050804786,-0.09435307,-0.050693825,0.14208502,0.09352219,-0.16037333,-0.033304743,0.086176954,0.026797863,-0.06711548,0.044298116,0.15841973,0.018259266,0.023240522,0.097009726,0.012227865,0.13787822,0.014768938,-0.07954318,-0.13915095,0.08161178,-0.09458773,0.14447144,0.16627711,0.07895585,0.15848622,-0.07151872,0.07392595,0.13985059,0.03661552,0.007727758,0.12763312
57,-0.05341711,0.030767433,0.17104495,0.2798502,-0.022702366,-0.14487684,0.008599637,0.1455576,0.070246354,-0.11140259,0.5295787,0.18169919,0.26013422,0.071930595,0.2013085,-0.19259007,0.24969691,-0.054151542,0.05838891,-0.43952972,0.036196787,-0.38746983,-0.004470542,0.34669265,0.08090438,0.1736936,-0.11719705,0.04761486,0.24158296,0.04650323,0.15971236,0.22694656
54,-0.011549291,-0.017470378,0.077440426,0.21339178,0.023745628,-0.14650393,-0.0133072045,0.118700296,0.048690736,-0.08750073,0.32264885,0.16800341,0.15646109,0.047141343,0.15176778,-0.098362595,0.19490935,-0.022056997,-0.00075758994,-0.29928717,0.05358883,-0.2603254,0.049478754,0.25746158,0.0774081,0.1644357,-0.09374599,0.059405282,0.19239631,0.0424357,0.099918544,0.17657086
60,0.012677061,-0.043438274,0.049571045,0.23049508,0.05297034,-0.17083819,-0.015176755,0.12608305,0.055006355,-0.0929782,0.29531327,0.19431059,0.14953068,0.042685524,0.16431189,-0.08836481,0.2108726,-0.011138903,-0.014687441,-0.31514162,0.07125808,-0.25277662,0.08240658,0.2790228,0.09451116,0.1881524,-0.101050936,0.076280236,0.20885378,0.04544557,0.09399169,0.1882732
59,0.01430797,-0.045420863,0.04742264,0.2305551,0.054437272,-0.17180765,-0.014827527,0.12598746,0.05526646,-0.093534105,0.29107344,0.19470927,0.14777143,0.042769406,0.16460489,-0.08796871,0.2113038,-0.010984888,-0.015958074,-0.31488413,0.072129324,-0.25106236,0.08558772,0.27981028,0.09527826,0.18842584,-0.10160877,0.07631448,0.20914415,0.045335427,0.09182734,0.18897529
73,0.033751976,-0.068609394,-0.0045936666,0.19174698,0.07983604,-0.17291227,-0.027878797,0.111062065,0.043010563,-0.080403194,0.17854595,0.18661234,0.0898999,0.029370882,0.13666253,-0.033571225,0.17905146,0.0075455885,-0.048583232,-0.2306452,0.08433464,-0.18135451,0.11131532,0.2259037,0.092282236,0.18430793,-0.087625444,0.08174129,0.18289277,0.042787604,0.060094148,0.15967593
61,-0.050716303,0.028645456,0.15576255,0.2647403,-0.01652476,-0.14379281,0.0019583255,0.14134306,0.06516477,-0.10514291,0.49890015,0.17977393,0.24343276,0.06605695,0.19064613,-0.17225903,0.23639975,-0.047267534,0.04842075,-0.40751365,0.039919086,-0.36727586,-0.0034731254,0.32363477,0.07900481,0.17335097,-0.11089033,0.049886428,0.23223287,0.04536237,0.15485056,0.21400373
